lab_ID,lab_type,lab_capacity,user_ID,course_of_study,occupancy,time_stamp,computer_ID,CPU_usage,memory_usage,disk_usage,year,month,day,hour,minute,day_of_week,quarter,month_name,hour_name,course_duration,course_start_time,course_end_time,course_attendance
7,C,46,64,ME,8,2023-01-01 00:00:00,1,35.918096365360405,20.4057257582812,53.4133707097363,2023,1,1,0,0,6,1,January,Morning,1,2023-01-01 07:00:00,2023-01-01 08:00:00,92
2,B,33,88,EE,89,2023-01-01 01:00:00,8,86.59304856230803,22.324941299539013,60.94524070795053,2023,1,1,1,0,6,1,January,Morning,5,2023-01-01 07:00:00,2023-01-01 12:00:00,48
3,A,25,16,EE,34,2023-01-01 02:00:00,2,90.74868920218516,96.91103577759708,62.71304180933238,2023,1,1,2,0,6,1,January,Morning,1,2023-01-01 06:00:00,2023-01-01 07:00:00,50
7,A,40,11,CS,20,2023-01-01 03:00:00,5,63.19717583540866,56.39478340759637,11.430225021609154,2023,1,1,3,0,6,1,January,Morning,3,2023-01-01 09:00:00,2023-01-01 12:00:00,33
6,B,17,78,EE,54,2023-01-01 04:00:00,1,23.960298585749182,3.04669391805954,99.73061925282926,2023,1,1,4,0,6,1,January,Morning,4,2023-01-01 09:00:00,2023-01-01 13:00:00,77
4,C,47,60,ME,89,2023-01-01 05:00:00,2,89.71268913952896,68.4059542953977,25.965584416824,2023,1,1,5,0,6,1,January,Morning,4,2023-01-01 07:00:00,2023-01-01 11:00:00,85
1,B,10,15,ME,76,2023-01-01 06:00:00,2,23.76018619979036,33.92424481806391,95.83882398136969,2023,1,1,6,0,6,1,January,Morning,2,2023-01-01 07:00:00,2023-01-01 09:00:00,49
6,C,18,75,EE,76,2023-01-01 07:00:00,9,28.01082307359156,77.40156626607522,36.56757541551952,2023,1,1,7,0,6,1,January,Morning,1,2023-01-01 09:00:00,2023-01-01 10:00:00,34
9,B,31,11,CS,53,2023-01-01 08:00:00,9,52.10194190494565,21.26229690340875,46.49927174775597,2023,1,1,8,0,6,1,January,Morning,1,2023-01-01 09:00:00,2023-01-01 10:00:00,79
7,A,39,77,ME,83,2023-01-01 09:00:00,9,72.35058964925189,82.7427717519946,30.22461995954672,2023,1,1,9,0,6,1,January,Morning,3,2023-01-01 09:00:00,2023-01-01 12:00:00,41
8,C,18,50,EE,45,2023-01-01 10:00:00,4,92.35456206184494,77.49932091723086,5.608539044968275,2023,1,1,10,0,6,1,January,Morning,5,2023-01-01 08:00:00,2023-01-01 13:00:00,94
6,B,38,22,CS,14,2023-01-01 11:00:00,9,64.52990843077279,44.45094479653827,59.0408420205802,2023,1,1,11,0,6,1,January,Morning,3,2023-01-01 08:00:00,2023-01-01 11:00:00,89
1,B,49,32,CS,41,2023-01-01 12:00:00,8,24.3330702438345,3.538543329588506,10.42469399484689,2023,1,1,12,0,6,1,January,Afternoon,5,2023-01-01 08:00:00,2023-01-01 13:00:00,82
1,A,18,47,CS,79,2023-01-01 13:00:00,9,96.50619572711877,99.40057873511304,6.384385560899075,2023,1,1,13,0,6,1,January,Afternoon,1,2023-01-01 08:00:00,2023-01-01 09:00:00,18
8,A,37,73,ME,60,2023-01-01 14:00:00,7,22.762059527336444,79.68304457032758,17.078157420435236,2023,1,1,14,0,6,1,January,Afternoon,4,2023-01-01 07:00:00,2023-01-01 11:00:00,80
4,A,18,70,EE,54,2023-01-01 15:00:00,8,64.79883961986688,69.82510518564239,41.54594987727162,2023,1,1,15,0,6,1,January,Afternoon,1,2023-01-01 06:00:00,2023-01-01 07:00:00,30
3,A,39,2,ME,19,2023-01-01 16:00:00,9,60.73809628183553,38.92211995613768,36.56967077616552,2023,1,1,16,0,6,1,January,Afternoon,4,2023-01-01 09:00:00,2023-01-01 13:00:00,6
1,B,33,89,CS,96,2023-01-01 17:00:00,1,71.09336641048117,9.197720275467558,66.60497510047317,2023,1,1,17,0,6,1,January,Evening,2,2023-01-01 09:00:00,2023-01-01 11:00:00,6
4,A,34,35,EE,21,2023-01-01 18:00:00,9,2.642042276767842,84.3719423103273,9.554957909205095,2023,1,1,18,0,6,1,January,Evening,3,2023-01-01 08:00:00,2023-01-01 11:00:00,84
3,C,27,10,EE,16,2023-01-01 19:00:00,2,64.96884993621117,39.300896354721736,39.059827724846464,2023,1,1,19,0,6,1,January,Evening,1,2023-01-01 09:00:00,2023-01-01 10:00:00,92
5,A,29,34,EE,34,2023-01-01 20:00:00,2,43.98455287758115,78.83905396238924,70.08630171473469,2023,1,1,20,0,6,1,January,Evening,2,2023-01-01 07:00:00,2023-01-01 09:00:00,53
9,C,28,84,ME,70,2023-01-01 21:00:00,3,11.280200239704197,97.50084420296638,31.801710248364824,2023,1,1,21,0,6,1,January,Evening,4,2023-01-01 09:00:00,2023-01-01 13:00:00,18
5,A,29,22,ME,5,2023-01-01 22:00:00,5,68.22718602263184,78.1193156690673,93.94688095841188,2023,1,1,22,0,6,1,January,Evening,1,2023-01-01 09:00:00,2023-01-01 10:00:00,88
6,A,48,56,CS,68,2023-01-01 23:00:00,9,5.321281969319092,36.63319821547179,9.843371960974922,2023,1,1,23,0,6,1,January,Evening,5,2023-01-01 07:00:00,2023-01-01 12:00:00,17
4,C,42,23,EE,56,2023-01-02 00:00:00,8,59.57517043960326,65.0301377016055,38.02808959525843,2023,1,2,0,0,0,1,January,Morning,1,2023-01-02 09:00:00,2023-01-02 10:00:00,72
3,A,29,89,CS,6,2023-01-02 01:00:00,2,76.82368198731193,81.54632478514647,92.19492120882416,2023,1,2,1,0,0,1,January,Morning,2,2023-01-02 08:00:00,2023-01-02 10:00:00,30
8,A,40,65,CS,30,2023-01-02 02:00:00,5,39.67411098753163,55.04030016449244,65.47077635627713,2023,1,2,2,0,0,1,January,Morning,1,2023-01-02 08:00:00,2023-01-02 09:00:00,90
6,B,18,57,EE,47,2023-01-02 03:00:00,1,51.49490909916983,29.942518901147828,8.1230245350271,2023,1,2,3,0,0,1,January,Morning,5,2023-01-02 08:00:00,2023-01-02 13:00:00,5
2,C,40,50,EE,67,2023-01-02 04:00:00,5,5.464301852976039,51.31741251148669,95.97636953857509,2023,1,2,4,0,0,1,January,Morning,2,2023-01-02 08:00:00,2023-01-02 10:00:00,22
